telnet 142.92.75.152 10010
Trying 142.92.75.152...
Connected to 142.92.75.152.
Escape character is '^]'.

1,00,00,01,117,117,00,07,000,02,252,008,129,046
C,00,05,01,092,005,09,03,000,02,249,0022,00,074
1,00,00,01,117,117,00,07,000,02,252,008,000,046
C,00,05,01,092,005,09,03,000,02,249,0022,00,074
1,00,00,01,117,117,00,07,000,02,252,008,000,046
C,00,06,01,094,005,00,03,000,02,249,0022,00,068
1,00,00,01,117,117,00,07,000,02,252,008,000,046
C,00,06,01,093,005,00,03,000,02,249,0022,00,067
1,00,00,01,117,117,00,07,000,02,252,008,000,046
C,00,05,01,095,005,09,03,000,02,249,0022,00,077
1,00,00,01,117,117,00,07,000,02,252,008,000,046
C,00,05,01,095,005,09,03,000,02,249,0022,00,077
1,00,00,01,117,117,00,07,000,02,252,008,129,046
